thr,prec,rec,f1
0.2,0.42233502538071066,0.827037773359841,0.5591397849462365
0.25,0.4548651817116061,0.7713717693836978,0.5722713864306784
0.3,0.47644683714670255,0.7037773359840954,0.5682182985553772
0.35,0.5191986644407346,0.6182902584493042,0.5644283121597096
0.4,0.5485961123110151,0.5049701789264414,0.525879917184265
0.45,0.6191860465116279,0.4234592445328032,0.5029515938606848
